Latitude (decimal degrees):	41.028
Longitude (decimal degrees):	28.890
Elevation (m):	81
Radiation database:	PVGIS-SARAH3


Slope: 34 deg. (optimum)
Azimuth: 8 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	3.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,7.18,0.21,0.0
20230101:0110,0.0,0.0,0.0,6.85,0.34,0.0
20230101:0210,0.0,0.0,0.0,6.74,0.55,0.0
20230101:0310,0.0,0.0,0.0,6.29,0.83,0.0
20230101:0410,0.0,0.0,0.0,5.24,1.17,0.0
20230101:0510,0.0,0.0,0.0,5.38,1.59,0.0
20230101:0610,225.0,93.4,5.55,5.86,1.72,0.0
20230101:0710,1078.02,367.31,13.85,6.55,1.59,0.0
20230101:0810,1831.26,627.03,20.38,7.71,1.31,0.0
20230101:0910,2183.82,764.63,24.58,9.3,1.17,0.0
20230101:1010,2325.24,825.14,25.96,10.78,1.24,0.0
20230101:1110,2231.43,793.73,24.35,11.89,1.17,0.0
20230101:1210,1880.46,659.85,19.95,12.58,1.31,0.0
20230101:1310,1311.12,454.6,13.26,12.75,1.72,0.0
20230101:1410,448.92,168.66,4.84,12.22,2.14,0.0
20230101:1510,0.0,0.0,0.0,10.97,2.55,0.0
20230101:1610,0.0,0.0,0.0,9.74,2.69,0.0
20230101:1710,0.0,0.0,0.0,8.79,2.76,0.0
20230101:1810,0.0,0.0,0.0,8.19,2.76,0.0
20230101:1910,0.0,0.0,0.0,7.78,2.83,0.0
20230101:2010,0.0,0.0,0.0,7.48,2.9,0.0
20230101:2110,0.0,0.0,0.0,7.18,2.83,0.0
20230101:2210,0.0,0.0,0.0,6.61,2.55,0.0
20230101:2310,0.0,0.0,0.0,6.27,2.14,0.0
20230102:0010,0.0,0.0,0.0,6.9,1.72,0.0
20230102:0110,0.0,0.0,0.0,8.03,1.38,0.0
20230102:0210,0.0,0.0,0.0,8.71,0.97,0.0
20230102:0310,0.0,0.0,0.0,8.51,0.9,0.0
20230102:0410,0.0,0.0,0.0,8.34,1.24,0.0
20230102:0510,0.0,0.0,0.0,5.41,1.86,0.0
20230102:0610,418.14,159.0,5.55,3.97,2.21,0.0
20230102:0710,1225.71,414.73,13.87,5.46,1.59,0.0
20230102:0810,1862.19,639.22,20.42,8.01,1.31,0.0
20230102:0910,2230.32,779.27,24.64,8.93,1.31,0.0
20230102:1010,2340.3,826.24,26.05,9.67,1.24,0.0
20230102:1110,2248.23,790.19,24.45,10.15,1.38,0.0
20230102:1210,1949.61,676.78,20.07,10.36,1.45,0.0
20230102:1310,1294.71,445.06,13.39,10.23,1.31,0.0
20230102:1410,461.61,171.48,4.97,9.7,1.03,0.0
20230102:1510,0.0,0.0,0.0,8.58,0.69,0.0
20230102:1610,0.0,0.0,0.0,8.59,0.21,0.0
20230102:1710,0.0,0.0,0.0,8.41,0.07,0.0
20230102:1810,0.0,0.0,0.0,8.31,0.28,0.0
20230102:1910,0.0,0.0,0.0,8.36,0.41,0.0
20230102:2010,0.0,0.0,0.0,8.22,0.55,0.0
20230102:2110,0.0,0.0,0.0,8.11,0.97,0.0
20230102:2210,0.0,0.0,0.0,6.88,1.45,0.0
20230102:2310,0.0,0.0,0.0,4.7,1.93,0.0
